text,label,page,line_count,avg_font_size,max_font_size,has_bold,has_italic,block_index,relative_position,prev_font_size,prev_text_length,next_font_size,next_text_length,word_count,char_count,avg_word_length,y_position,x_position,width,height,is_top_quarter,is_left_aligned,font_size_ratio,is_large_font,font_emphasis_score,all_caps_ratio,digit_ratio,punct_ratio,has_colon,starts_with_number,title_pattern_score,heading_pattern_score,is_first_block,is_early_block,font_larger_than_prev,font_larger_than_next,content_word_ratio,semantic_density,position_font_interaction,pattern_position_interaction
What is the status?,H1,0.0,1.0,17.982891082763672,17.982891082763672,0,0,10.0,0.5263157894736842,9.950395584106445,113.0,9.950395584106445,98.0,4.0,19.0,4.0,335.8861999511719,29.999969482421875,354.3940124511719,44.436004638671875,0,1,1.5095466491442828,1,2.0,0.05263157894736842,0.0,0.05263157894736842,0,0,0.0,1.0,0,0,1,1,0.25,1.0,0.7944982363917278,0.4736842105263158
The 2012 North Carolina School Health Profiles indicates that among high schools: Health Education,Paragraph,0.0,2.0,9.950395584106445,9.950395584106445,0,0,11.0,0.5789473684210527,17.982891082763672,19.0,9.950395584106445,757.0,14.0,98.0,6.071428571428571,335.8861999511719,29.999969482421875,354.3940124511719,44.436004638671875,0,1,0.8352709385002591,0,0.0,0.08163265306122448,0.04081632653061224,0.01020408163265306,1,0,2.0,0.0,0,0,0,0,0.8571428571428571,0.9166666666666666,0.48357791176330794,0.8421052631578947
"• 17% required students to take 2 or more health education courses. • 75% had a health education curriculum that addresses all 8 national standards for health education. • 69% taught 9 key pregnancy, HIV, or other STD prevention topics in a required course. • 39% taught 4 key topics related to condom use in a required course. • 83% taught how to access valid and reliable health information, products, or services related to HIV, other STDs, and pregnancy in a required course. • 58% had a lead health education teacher who received professional development during the 2 years before the survey on HIV prevention. • 49% had a lead health education teacher who received professional development during the 2 years before the survey on pregnancy prevention.",Paragraph,0.0,10.0,9.950395584106445,9.950395584106445,0,0,12.0,0.631578947368421,9.950395584106445,98.0,9.950395584106445,15.0,127.0,757.0,4.968503937007874,378.6788024902344,39.483428955078125,516.7924499511719,118.19540405273438,0,1,0.8352709385002591,0,0.0,0.019815059445178335,0.026420079260237782,0.035667107001321,0,0,0.0,0.0,0,0,0,0,0.5826771653543307,0.6216216216216216,0.5275395401054268,0.0
Health Services,H2,0.0,1.0,9.950395584106445,9.950395584106445,0,0,13.0,0.6842105263157895,9.950395584106445,757.0,9.950395584106445,110.0,2.0,15.0,7.0,499.0653991699219,30.149070739746094,69.44641876220703,13.286651611328125,0,1,0.8352709385002591,0,0.0,0.13333333333333333,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1.0,1.0,0.5715011684475457,0.0
• 33% had a full­time registered nurse who provides health services to students at school. Supportive Policies,Paragraph,0.0,2.0,9.950395584106445,9.950395584106445,0,0,14.0,0.7368421052631579,9.950395584106445,15.0,9.950395584106445,225.0,17.0,110.0,5.529411764705882,510.7085266113281,30.149017333984375,395.23626708984375,25.647003173828125,0,1,0.8352709385002591,0,0.0,0.01818181818181818,0.01818181818181818,0.03636363636363636,0,0,0.0,0.0,0,0,0,0,0.6470588235294118,1.0,0.6154627967896645,0.0
"• 32% had a gay/straight alliance or similar club. • 5% provided curricula or supplementary materials and engaged in 5 practices related to lesbian, gay, bisexual, transgender, or questioning (LGBTQ) youth. Family Involvement",Paragraph,0.0,4.0,9.950395584106445,9.950395584106445,0,0,15.0,0.7894736842105263,9.950395584106445,110.0,9.950395584106445,159.0,33.0,225.0,5.848484848484849,534.712158203125,30.3876953125,488.719482421875,49.65057373046875,0,1,0.8352709385002591,0,0.0,0.03111111111111111,0.017777777777777778,0.057777777777777775,0,0,0.0,0.0,0,0,0,0,0.6363636363636364,1.0,0.6594244251317836,0.0
"• 27% provided parents and families health information to increase parent and family knowledge of HIV prevention, STD prevention, or teen pregnancy prevention.",Paragraph,0.0,2.0,9.950395584106445,9.950395584106445,0,0,16.0,0.8421052631578947,9.950395584106445,225.0,8.032245635986328,75.0,23.0,159.0,5.956521739130435,582.7192993164062,39.27477264404297,519.4565505981445,24.92987060546875,0,1,0.8352709385002591,0,0.0,0.03773584905660377,0.012578616352201259,0.031446540880503145,0,0,0.0,0.0,0,0,0,1,0.7391304347826086,0.9411764705882353,0.7033860534739024,0.0
1. Among students who were currently sexually active. ­ Data not available.,Paragraph,0.0,3.0,8.032245635986328,8.032245635986328,0,0,17.0,0.8947368421052632,9.950395584106445,159.0,8.99129581451416,94.0,12.0,75.0,5.333333333333333,625.6139526367188,19.43950080871582,193.02935600280762,21.7642822265625,0,1,0.6742547362992498,0,0.0,0.02666666666666667,0.013333333333333334,0.05333333333333334,0,1,0.0,0.0,0,0,0,0,0.5833333333333334,1.0,0.6032805535309077,0.0
Where can I get more information? Visit www.cdc.gov/yrbss or call 800­CDC­INFO (800­232­4636).,Paragraph,0.0,1.0,8.99129581451416,8.99129581451416,0,0,18.0,0.9473684210526315,8.032245635986328,75.0,12.0,0.0,12.0,94.0,6.916666666666667,688.2030029296875,109.80000305175781,395.88099670410156,12.0059814453125,0,0,0.7547607559762273,0,0.0,0.10638297872340426,0.13829787234042554,0.11702127659574468,0,0,0.0,0.0,0,0,1,0,0.5833333333333334,1.0,0.715036505661689,0.0
55663,Paragraph,0.0,1.0,11.0,11.0,1,0,0.0,0.0,12.0,0.0,18.0,21.0,1.0,5.0,5.0,33.78034210205078,536.4199829101562,33.63812255859375,11.0,1,0,1.302911383817957,1,4.0,0.0,1.0,0.0,0,0,0.0,1.0,1,1,0,0,1.0,1.0,0.0,1.0
Rules and Regulations,Title,0.0,1.0,18.0,18.0,1,0,1.0,0.008771929824561403,11.0,5.0,8.0,16.0,3.0,21.0,6.333333333333333,55.028106689453125,45.0,415.31201171875,18.0,1,1,2.1320368098839295,1,4.0,0.09523809523809523,0.0,0.0,0,0,2.0,1.0,0,1,1,1,0.6666666666666666,1.0,0.01870207727968359,2.973684210526316
Federal Register,H1,0.0,1.0,8.0,8.0,1,0,2.0,0.017543859649122806,18.0,21.0,8.0,16.0,2.0,16.0,7.5,55.028106689453125,45.0,415.31201171875,18.0,1,1,0.9475719155039686,0,2.0,0.125,0.0,0.0,0,0,0.0,0.0,0,1,0,0,1.0,1.0,0.01662406869305208,0.0
"Vol. 75, No. 177",Paragraph,0.0,1.0,8.0,8.0,0,0,3.0,0.02631578947368421,8.0,16.0,8.0,27.0,4.0,16.0,3.25,74.02206420898438,399.0,66.58795166015625,8.0,1,0,0.9475719155039686,0,0.0,0.125,0.3125,0.1875,0,0,0.0,0.0,0,1,0,0,1.0,1.0,0.02493610303957812,0.0
"Tuesday, September 14, 2010",Paragraph,0.0,1.0,8.0,8.0,0,0,4.0,0.03508771929824561,8.0,16.0,9.0,2155.0,4.0,27.0,6.0,91.02206420898438,399.0,115.4759521484375,8.0,1,0,0.9475719155039686,0,0.0,0.07407407407407407,0.2222222222222222,0.07407407407407407,0,0,0.0,0.0,0,1,0,0,1.0,1.0,0.03324813738610416,0.0
"education and an association of research universities; six nonprofit organizations and an association of nonprofits; two local governmental organizations and an association of local government officials; two commercial firms; one individual; and 14 Federal agencies. Some of the comments concerned subaward reporting under the Transparency Act but were not directly related to the content of the guidance. For example, we received comments that suggested: • Specific data elements that either should be included in, or excluded from, the information that will be required for each subaward. • A need for better definitions of some data elements or clarification of the information desired in some data fields. • Using the same information technology systems for submission of data on both: (1) Subawards under Federal assistance awards subject to the Transparency Act’s requirements; and (2) subcontracts that entities receiving Federal procurement contracts must submit under the Act. • Other specific features that it would be important to include in those information technology systems. When we received them in 2008, we referred comments that do not directly relate to the policy guidance to the appropriate Federal agency groups, including the groups that were working on the design of systems to which entities will submit data to fulfill their reporting responsibilities under the Act. As stated in the 2008 Federal Register notice, the data elements and other aspects of subaward reporting are separate from the policy guidance. The General Services Administration has recently published the information collections with an opportunity for public comment that provide the specific data elements required for Transparency Act reporting of subawards and executive compensation [75 FR 43165]. The Federal acquisition councils have simultaneously published for public comment their proposed information collection for subcontract reporting pursuant to the Transparency Act. As it was proposed in 2008, the new part 33 would have required direct recipients of Federal agency awards and, with some exceptions, subrecipients at all lower tiers (if their",Paragraph,0.0,62.0,9.0,9.0,1,0,5.0,0.043859649122807015,8.0,27.0,9.0,564.0,320.0,2155.0,5.7375,122.23429870605469,398.9923095703125,169.83917236328125,618.9391021728516,1,0,1.0660184049419648,0,2.0,0.016241299303944315,0.01160092807424594,0.018097447795823667,1,0,0.0,0.0,0,0,1,0,0.578125,0.6810810810810811,0.046755193199208976,0.0
"in the Federal Register and that are open for comment. Simply type ‘‘ FFATA subaward reporting ’’ (in quotes) in the Comment or Submission search box, click Go, and follow the instructions for submitting comments. Comments received by the date specified above will be included as part of the official record and considered in preparing the final guidance. Marguerite Pridgen, Office of Federal Financial Management, Office of Management and Budget, 725 17th Street, NW., Washington, DC 20503; telephone 202–395–7844; fax 202–395– 3952; e-mail mpridgen@omb.eop.gov.",Paragraph,0.0,16.0,9.0,9.0,1,0,6.0,0.05263157894736842,9.0,2155.0,8.0,252.0,84.0,564.0,5.726190476190476,122.26884460449219,222.00479125976562,170.49160766601562,158.18431091308594,1,0,1.0660184049419648,0,2.0,0.047872340425531915,0.05319148936170213,0.05319148936170213,0,0,0.0,0.0,0,0,0,1,0.6547619047619048,0.9636363636363636,0.05610623183905077,0.0
"This section of the FEDERAL REGISTER contains regulatory documents having general applicability and legal effect, most of which are keyed to and codified in the Code of Federal Regulations, which is published under 50 titles pursuant to 44 U.S.C. 1510.",Paragraph,0.0,6.0,8.0,8.0,0,0,7.0,0.06140350877192982,9.0,564.0,8.0,156.0,40.0,252.0,5.325,122.79026794433594,45.0,165.82398986816406,53.0,1,1,0.9475719155039686,0,0.0,0.0873015873015873,0.031746031746031744,0.023809523809523808,0,0,0.0,0.0,0,0,0,0,0.5,0.95,0.05818424042568228,0.0
The Code of Federal Regulations is sold by the Superintendent of Documents. Prices of new books are listed in the first FEDERAL REGISTER issue of each week.,Paragraph,0.0,4.0,8.0,8.0,0,0,8.0,0.07017543859649122,8.0,252.0,9.0,31.0,27.0,156.0,4.814814814814815,184.79026794433594,45.0,156.9439697265625,35.0,1,1,0.9475719155039686,0,0.0,0.14102564102564102,0.0,0.01282051282051282,0,0,0.0,0.0,0,0,0,0,0.5555555555555556,0.9333333333333333,0.06649627477220832,0.0
OFFICE OF MANAGEMENT AND BUDGET,H1,0.0,2.0,9.0,9.0,1,0,9.0,0.07894736842105263,8.0,156.0,9.0,14.0,5.0,31.0,5.4,240.01405334472656,45.0,140.3775177001953,18.900039672851562,0,1,1.0660184049419648,0,2.0,0.8709677419354839,0.0,0.0,0,0,0.0,2.0,0,0,1,0,0.6,1.0,0.08415934775857616,1.8421052631578947
2 CFR Part 170,H2,0.0,1.0,9.0,9.0,1,0,10.0,0.08771929824561403,9.0,31.0,8.879961354391915,227.0,4.0,14.0,2.75,267.7160949707031,45.0,65.90249633789062,9.0,0,1,1.0660184049419648,0,2.0,0.2857142857142857,0.2857142857142857,0.0,0,0,0.0,0.0,0,0,0,1,0.75,1.0,0.09351038639841795,0.0
"FOR FURTHER INFORMATION CONTACT : Marguerite Pridgen, Office of Federal Financial Management, Office of Management and Budget, telephone (202) 395–7844 (direct) or (202) 395– 3993 (main office) and e-mail: mpridgen@omb.eop.gov.",Paragraph,0.0,7.0,8.879961354391915,9.0,1,0,11.0,0.09649122807017543,9.0,14.0,8.0,13.0,30.0,227.0,6.6,282.41387939453125,222.0,155.827880859375,69.25469970703125,0,0,1.0518002487727953,0,2.0,0.16299559471365638,0.0881057268722467,0.0881057268722467,1,0,0.0,0.0,0,0,0,1,0.7333333333333333,0.9090909090909091,0.10148949768860305,0.0
RIN 0348–AB61,Paragraph,0.0,1.0,8.0,8.0,1,0,12.0,0.10526315789473684,8.879961354391915,227.0,9.0,83.0,2.0,13.0,6.0,282.8902893066406,45.0,60.891990661621094,8.0,0,1,0.9475719155039686,0,2.0,0.38461538461538464,0.46153846153846156,0.07692307692307693,0,0,0.0,0.0,0,0,0,0,1.0,1.0,0.09974441215831248,0.0
Requirements for Federal Funding Accountability and Transparency Act Implementation,H1,0.0,3.0,9.0,9.0,1,0,13.0,0.11403508771929824,8.0,13.0,8.81327321794298,87.0,9.0,83.0,8.333333333333334,299.9140625,45.0,161.4194793701172,28.79998779296875,0,1,1.0660184049419648,0,2.0,0.08433734939759036,0.0,0.0,0,0,2.0,0.0,0,0,1,1,0.7777777777777778,1.0,0.12156350231794334,1.7719298245614035
"AGENCY : Office of Federal Financial Management, Office of Management and Budget (OMB).",Paragraph,0.0,3.0,8.81327321794298,9.0,1,0,14.0,0.12280701754385964,9.0,83.0,8.159729480743408,27.0,13.0,87.0,5.769230769230769,334.9140625,45.0,169.32827758789062,29.06072998046875,0,1,1.0439012731232569,0,2.0,0.1839080459770115,0.0,0.05747126436781609,1,0,0.0,0.0,0,0,0,1,0.6923076923076923,0.8888888888888888,0.12819840196250523,0.0
SUPPLEMENTARY INFORMATION :,Paragraph,0.0,1.0,8.159729480743408,8.159729480743408,1,0,15.0,0.13157894736842105,8.81327321794298,87.0,8.71990982691447,73.0,3.0,27.0,8.333333333333334,355.61376953125,222.0,123.15432739257812,9.0,0,0,0.9664913117577792,0,2.0,0.8888888888888888,0.0,0.037037037037037035,1,0,0.0,1.0,0,0,0,0,0.6666666666666666,1.0,0.12716990944181306,0.868421052631579
ACTION : Interim final guidance to agencies with opportunity for comment.,Paragraph,0.0,2.0,8.71990982691447,9.0,1,0,16.0,0.14035087719298245,8.159729480743408,27.0,9.0,1320.0,11.0,73.0,5.7272727272727275,365.9140625,45.0,168.33847045898438,19.160736083984375,0,1,1.032842707213903,0,2.0,0.0958904109589041,0.0,0.0273972602739726,1,0,0.0,0.0,0,0,1,0,0.6363636363636364,1.0,0.14496037995984604,0.0
"I. Background On June 6, 2008 [73 FR 32417], the Office of Management and Budget (OMB) published proposed guidance to Federal agencies with an award term needed to implement requirements related to subaward reporting under the Federal Funding Accountability and Transparency Act of 2006 (Pub. L. 109– 282, as amended by section 6202 of Public Law 110–252, hereafter referred to as ‘‘ the Transparency Act ’’ or ‘‘ the Act ’’ ). The guidance was proposed for adoption in a new part 33 within title 2 of the Code of Federal Regulations (CFR). We are adopting the interim final guidance in 2 CFR part 170, a different 2 CFR part than part 33 in which we originally proposed to adopt it in June 2008. The reason is that part 33 now is within a newly created subchapter in 2 CFR that is for OMB guidance related to pre-award responsibilities (for more information on the new 2 CFR subchapters, see the notice in today’s Federal Register that adopts 2 CFR part 25). The content of the guidance following this preamble is better suited to another new subchapter for guidance on national policy requirements, a subchapter that includes part 170. We received comments from 75 entities in response to the 2008 Federal Register notice, including: 29 State agencies and two associations of State officials; 16 institutions of higher",H1,0.0,37.0,9.0,9.0,1,0,17.0,0.14912280701754385,8.71990982691447,73.0,8.977592786153158,929.0,226.0,1320.0,4.845132743362832,370.6705017089844,221.98931884765625,167.21566772460938,370.5658264160156,0,0,1.0660184049419648,0,2.0,0.04621212121212121,0.05,0.030303030303030304,1,0,0.0,1.0,0,0,1,1,0.5707964601769911,0.7286821705426356,0.15896765687731051,0.8508771929824561
"SUMMARY : OMB is issuing interim final guidance to agencies to establish requirements for Federal financial assistance applicants, recipients, and subrecipients that are necessary for the implementation of the Federal Funding Accountability and Transparency Act of 2006, hereafter referred to as ‘‘ the Transparency Act ’’ or ‘‘ the Act ’’ . This interim final guidance provides standard wording for an award term that each agency must include in grant and cooperative agreement awards it makes on or after October 1, 2010, to require recipients to report information about first-tier subawards and executive compensation under only those awards. This implementation of the requirement for reporting of subawards and executive compensation under Federal assistance awards parallels the implementation for subcontracts and executive compensation under Federal procurement contracts, which is in the Federal Acquisition Regulation.",Paragraph,0.0,25.0,8.977592786153158,9.0,1,0,18.0,0.15789473684210525,9.0,1320.0,8.887963930765789,172.0,133.0,929.0,5.992481203007519,392.11407470703125,45.0,169.7547149658203,246.860595703125,0,1,1.06336434912372,0,2.0,0.02906350914962325,0.00968783638320775,0.02045209903121636,1,0,0.0,1.0,0,0,0,1,0.5639097744360902,0.7466666666666667,0.1678996340721663,0.8421052631578947
"DATES : The effective date for this interim final guidance is September 14, 2010. Comments on the interim final guidance must be received by no later than October 14, 2010.",Paragraph,0.0,5.0,8.887963930765789,9.0,1,0,19.0,0.16666666666666666,8.977592786153158,929.0,5.0,36.0,30.0,172.0,4.766666666666667,640.9140625,45.0,165.29029846191406,49.15777587890625,0,1,1.05274812585074,0,2.0,0.05232558139534884,0.06976744186046512,0.029069767441860465,1,0,0.0,0.0,0,0,0,1,0.6333333333333333,0.7368421052631579,0.17545802097512334,0.0
jdjones on DSK8KYBLC1PROD with RULES,Paragraph,0.0,1.0,5.0,5.0,0,0,20.0,0.17543859649122806,8.887963930765789,172.0,8.887963930765789,186.0,5.0,36.0,6.4,674.7844848632812,18.118919372558594,5.0,99.21551513671875,0,1,0.5922324471899804,0,0.0,0.4722222222222222,0.05555555555555555,0.0,0,0,0.0,0.0,0,0,0,0,0.6,1.0,0.10390042933157549,0.0
"ADDRESSES : Comments may be sent to regulations.gov, a Federal E-Government Web site that allows the public to find, review, and submit comments on documents that agencies have published",H2,0.0,5.0,8.887963930765789,9.0,1,0,21.0,0.18421052631578946,5.0,36.0,6.5,114.0,29.0,186.0,5.448275862068965,692.0140380859375,45.0,170.38528442382812,49.25677490234375,0,1,1.05274812585074,0,2.0,0.07526881720430108,0.0,0.03225806451612903,1,0,0.0,0.0,0,0,1,1,0.6206896551724138,0.9444444444444444,0.1939272863409258,0.0
"VerDate Mar<15>2010 14:52 Sep 13, 2010 Jkt 220001 PO 00000 Frm 00001 Fmt 4700 Sfmt 4700 E:\FR\FM\14SER1.SGM 14SER1",Paragraph,0.0,9.0,6.5,6.5,0,0,22.0,0.19298245614035087,8.887963930765789,186.0,10.449747562408447,95.0,18.0,114.0,5.388888888888889,766.95458984375,25.0,424.88580322265625,6.5,0,1,0.7699021813469745,0,0.0,0.21052631578947367,0.40350877192982454,0.07894736842105263,1,0,0.0,0.0,0,0,0,0,0.9444444444444444,0.9411764705882353,0.14857761394415298,0.0
"55664 Federal Register / Vol. 75, No. 177 / Tuesday, September 14, 2010 / Rules and Regulations",Paragraph,1.0,2.0,10.449747562408447,11.0,1,0,23.0,0.20175438596491227,6.5,114.0,9.0,2553.0,17.0,95.0,4.647058823529412,33.78034210205078,45.0,473.96954345703125,11.0,1,1,1.2377359142805373,1,4.0,0.08421052631578947,0.16842105263157894,0.08421052631578947,0,0,0.0,0.0,0,0,1,1,0.7647058823529411,1.0,0.24971864937238908,0.0
"suggested that the costs should be allocable as direct program costs. A number of commenters were concerned that the added burdens of reporting could discourage some entities, especially smaller subrecipient entities, from applying for Federal grants. Response: This guidance requires only prime grant recipients to report to the Federal Government on subawards and executive compensation. Nevertheless, we understand the administrative changes and effort that are associated with reporting on subawards. As section (d)(2)(A) of the Transparency Act provides, recipients and subrecipients are allowed ‘‘ to allocate reasonable costs for the collection and reporting of subaward data as indirect costs. ’’ We will assess the overall cost impact of the new requirements on recipients and subrecipients, as well as their ability to recover the indirect costs under current limitations in statute, policy, program regulations, or practice. Comment: Nine commenters suggested that it was premature to propose the policy guidance. Among reasons given were that we did not yet provide details about all data elements that will be required in each report of an obligating action, the definitions of the data elements, and the reporting format and procedures that will be used. A few commenters noted that the award term in the proposed guidance referred to a Web site at which entities would submit subaward data but observed that the site was not ready to receive data and had no further details on what or how to report. One commenter asked if there was an exception process when there are systems issues to be resolved. Response: We revised the wording of the award term to further clarify that the Web site will be the source of the detailed information on what to report ( i.e., the specific data elements and their definitions) and how to report ( i.e., the formats and information technology system features). That information will be posted at the Web site before non- Federal entities are required to report data on subaward obligations. In addition, the General Services Administration’s Paperwork Reduction Act information collection also provides the specific data elements required for Transparency Act reporting. There is an important distinction to be made between the policy guidance contained in this Federal Register notice and the operational details on what and how to report. Under the current statute, non-Federal entities will be required to report subaward data, a basic requirement that does not depend on the specific data elements and",H3,1.0,69.0,9.0,9.0,1,0,24.0,0.21052631578947367,10.449747562408447,95.0,9.0,66.0,400.0,2553.0,5.385,60.17619323730469,399.0059814453125,169.7491455078125,680.9762725830078,1,0,1.0660184049419648,0,2.0,0.014884449667058363,0.0003916960438699569,0.020759890325107718,1,0,0.0,0.0,0,0,0,0,0.5375,0.6883720930232559,0.2244249273562031,0.0
included in the interim final guidance as a result of the comment.,Paragraph,1.0,2.0,9.0,9.0,0,0,25.0,0.21929824561403508,9.0,2553.0,9.0,2354.0,12.0,66.0,4.583333333333333,60.23008728027344,222.00299072265625,160.26760864257812,18.9990234375,1,0,1.0660184049419648,0,0.0,0.0,0.0,0.015151515151515152,0,0,0.0,0.0,0,0,0,0,0.5,1.0,0.2337759659960449,0.0
