text,page,bbox,font_size,font_name,font_flags,page_height,page_width,block_index,total_blocks,relative_position,font_size_z_score,font_size_percentile,is_largest_font,is_common_font_size,font_size_deviation,is_first_page,is_last_page,page_position_normalized,prev_font_size_diff,prev_text_length,prev_page_diff,next_font_size_diff,next_text_length,next_page_diff,text_length_z_score,is_short_text,is_medium_text,is_long_text,title_score,h1_score,h2_score,h3_score,heading_likelihood,heuristic_class,heuristic_confidence,block_width,block_height,aspect_ratio,sentence_count,avg_sentence_length,word_count,avg_word_length,unique_word_ratio,char_count,alpha_ratio,digit_ratio,punct_ratio,space_ratio,stopword_ratio,bigram_diversity,starts_with_number,ends_with_punct,has_colon,parentheses_count,quote_count,flesch_score,heading_rank,heading_percentile,preliminary_label,label,source_file
Overview,1,"(252.64999389648438, 189.62002563476562, 365.9539489746094, 216.38002014160156)",24.0,"Arial,Bold",16,792.0,612.0,0,136,0.0,4.943263685791218,1.0,True,False,14.039999961853027,True,False,0.23941922428632023,0.0,0,0,0.0,27,0,-0.6083439673949244,False,True,False,8,7,1.5,0.0,8.0,Title,0.48484848484848486,113.303955078125,26.759994506835938,4.234079907945463,1,1.0,1,8.0,1.0,8,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0.0,1,1.0,Title,Paragraph,E0CCG5S312.pdf
Foundation Level Extensions,1,"(139.3459930419922, 244.84402465820312, 479.3563537597656, 271.6040344238281)",24.0,"Arial,Bold",16,792.0,612.0,1,136,0.007352941176470588,4.943263685791218,1.0,True,False,14.039999961853027,True,False,0.3091464957805595,0.0,8,0,-12.0,11,0,-0.5134646330305783,False,True,False,8,6,1.0,0.0,8.0,Title,0.5333333333333333,340.01036071777344,26.760009765625,12.705913177750002,1,3.0,3,8.333333333333334,1.0,27,0.9259259259259259,0.0,0.0,0.07407407407407407,0.0,1.0,False,False,False,0,0,0.0,2,0.9926470588235294,Title,Title,E0CCG5S312.pdf
Version 1.0,1,"(275.69000244140625, 382.4300231933594, 339.8179931640625, 395.80999755859375)",12.0,Arial,0,792.0,612.0,2,136,0.014705882352941176,0.5397537448634514,0.8529411764705882,False,False,2.0399999618530273,True,False,0.48286619090070626,-12.0,27,0,6.0,51,0,-0.5933630198637118,False,True,False,4,3,2.0,0.5,4.0,Title,0.42105263157894735,64.12799072265625,13.379974365234375,4.792833601332011,1,2.0,2,5.0,1.0,11,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,1.0,False,False,False,0,0,0.0,17,0.8823529411764706,Title,Paragraph,E0CCG5S312.pdf
International Software Testing Qualifications Board,1,"(103.33999633789062, 465.6999816894531, 513.4158935546875, 485.7699890136719)",18.0,Arial,0,792.0,612.0,3,136,0.022058823529411766,2.741508715327335,0.9852941176470589,False,False,8.039999961853027,True,False,0.5880050273856732,6.0,11,0,-8.039999961853027,111,0,-0.3936170527808781,False,True,False,8,7,1.5,0.0,8.0,Title,0.48484848484848486,410.0758972167969,20.07000732421875,20.43227441785498,1,5.0,5,9.4,1.0,51,0.9215686274509803,0.0,0.0,0.0784313725490196,0.0,1.0,False,False,False,0,0,0.0,3,0.9852941176470589,Title,Paragraph,E0CCG5S312.pdf
"Copyright Notice  This document may be copied in its entirety, or extracts made, if the source is acknowledged.",1,"(70.94400024414062, 652.2861938476562, 484.9912109375, 674.9153442382812)",9.960000038146973,Arial,0,792.0,612.0,4,136,0.029411764705882353,-0.2088429310958879,0.8455882352941176,False,True,0.0,True,False,0.8235936791005761,-8.039999961853027,51,0,0.0,100,1,-0.09399810215662757,False,True,False,5,2,0.0,0.0,5.0,Title,0.7142857142857143,414.0472106933594,22.629150390625,18.297072737865335,1,18.0,18,5.166666666666667,1.0,111,0.8108108108108109,0.0,0.02702702702702703,0.16216216216216217,0.38095238095238093,1.0,False,True,False,0,0,0.0,10,0.9338235294117647,Title,Paragraph,E0CCG5S312.pdf
International  Overview  Software Testing  Foundation Level Extension – Agile Tester  Qualifications,2,"(74.42400360107422, 38.62621307373047, 515.6878662109375, 72.77159118652344)",9.960000038146973,Arial,0,792.0,612.0,5,136,0.03676470588235294,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.04877047105268999,0.0,111,1,0.0,5,0,-0.14892824310440683,False,True,False,3,4,2.0,0.0,4.0,H1,0.4444444444444444,441.2638626098633,34.14537811279297,12.923091996586752,1,11.0,11,7.818181818181818,1.0,100,0.85,0.0,0.0,0.14,0.0,1.0,False,False,False,0,0,0.0,18,0.875,H1,Paragraph,E0CCG5S312.pdf
Board,2,"(493.54779052734375, 61.66619110107422, 522.8401489257812, 72.77159118652344)",9.960000038146973,Arial,0,792.0,612.0,6,136,0.04411764705882353,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.07786135240034624,0.0,100,0,0.0,92,0,-0.6233249149261368,False,True,False,3,2,1.0,0.0,3.0,Title,0.5,29.2923583984375,11.105400085449219,2.637667996924994,1,1.0,1,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0.0,43,0.6911764705882353,H3,Paragraph,E0CCG5S312.pdf
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,2,"(70.94400024414062, 120.36620330810547, 483.2471923828125, 131.4716033935547)",9.960000038146973,Arial,0,792.0,612.0,7,136,0.051470588235294115,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.1519775294294261,0.0,5,0,0.0,40,0,-0.18887743652097358,False,True,False,2,2,0.5,0.0,2.0,Title,0.4444444444444444,412.3031921386719,11.105400085449219,37.12636996112275,1,10.0,10,8.3,1.0,92,0.8478260869565217,0.0,0.010869565217391304,0.09782608695652174,0.0,1.0,False,True,False,2,0,0.0,59,0.5735294117647058,H3,Paragraph,E0CCG5S312.pdf
"Version 2014  Page 2 of 12  May 31, 2014",2,"(76.58135986328125, 718.683349609375, 533.1318359375, 730.0775756835938)",9.960000038146973,Trebuchet MS,0,792.0,612.0,8,136,0.058823529411764705,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.9074284717290089,0.0,92,0,-3.9600000381469727,53,0,-0.44854719372865737,False,True,False,0,0,0.0,0.0,0.0,Title,0.0,456.55047607421875,11.39422607421875,40.06858149911883,1,9.0,9,3.3333333333333335,0.8888888888888888,40,0.4,0.325,0.025,0.25,0.1,1.0,False,False,False,0,0,56.70000000000002,100,0.27205882352941174,Paragraph,Paragraph,E0CCG5S312.pdf
© International Software Testing Qualifications Board,2,"(76.58399963378906, 736.8900146484375, 219.2940216064453, 743.5800170898438)",6.0,Arial,0,792.0,612.0,9,136,0.0661764705882353,-1.6620012256004322,0.08088235294117647,False,False,3.9600000381469727,False,False,0.9304166851621686,-3.9600000381469727,40,0,3.9600000381469727,84,1,-0.3836297544267364,False,True,False,1,2,1.5,0.0,2.0,H1,0.4444444444444444,142.71002197265625,6.69000244140625,21.33183406472096,1,6.0,6,8.0,1.0,53,0.8867924528301887,0.0,0.0,0.09433962264150944,0.0,1.0,False,False,False,0,0,0.0,60,0.5661764705882353,H3,Paragraph,E0CCG5S312.pdf
International  Overview  Software Testing  Foundation Level Extension – Agile Tester,3,"(74.42400360107422, 38.62621307373047, 515.6878662109375, 70.23876190185547)",9.960000038146973,Arial,0,792.0,612.0,10,136,0.07352941176470588,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.04877047105268999,3.9600000381469727,53,1,0.0,20,0,-0.2288266299375403,False,True,False,3,4,2.0,0.0,4.0,H1,0.4444444444444444,441.2638626098633,31.612548828125,13.9585031567363,1,10.0,10,7.2,1.0,84,0.8452380952380952,0.0,0.0,0.14285714285714285,0.0,1.0,False,False,False,0,0,0.0,19,0.8676470588235294,H1,Paragraph,E0CCG5S312.pdf
Qualifications Board,3,"(430.75, 61.66619110107422, 522.8402099609375, 72.77159118652344)",9.960000038146973,Arial,0,792.0,612.0,11,136,0.08088235294117647,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.07786135240034624,0.0,84,0,6.0,16,0,-0.5484201772700742,False,True,False,3,2,1.0,0.0,3.0,Title,0.5,92.0902099609375,11.105400085449219,8.292381116606336,1,2.0,2,9.5,1.0,20,0.95,0.0,0.0,0.05,0.0,1.0,False,False,False,0,0,0.0,44,0.6838235294117647,H3,Paragraph,E0CCG5S312.pdf
Revision History,3,"(70.94400024414062, 108.93620300292969, 201.52871704101562, 126.73160552978516)",15.960000038146973,"Arial,Bold",16,792.0,612.0,12,136,0.08823529411764706,1.9929120393679958,0.9779411764705882,False,False,6.0,False,False,0.13754571086228495,6.0,20,0,-6.0,318,0,-0.5683947739783576,False,True,False,3,4,2.0,0.0,4.0,H1,0.4444444444444444,130.584716796875,17.79540252685547,7.338115369956171,1,2.0,2,7.5,1.0,16,0.9375,0.0,0.0,0.0625,0.0,1.0,False,False,False,0,0,0.0,20,0.8602941176470589,H1,H1,E0CCG5S312.pdf
Version  Date  Remarks  0.1  18 JUNE 2013  Initial version  0.2  23 JULY 2013  WG reviewed and confirmed  0.3  6 NOV 2013  amended population and diagram  0.7  11 DEC 2013  Amended Business Outcomes and Chapters matching  0.8  20 DEC 2013  Working group updates on 0.7  1.0  31 MAY 2014  GA release for Agile Extension,3,"(74.42400360107422, 139.44622802734375, 522.174072265625, 224.1116180419922)",9.960000038146973,Arial,0,792.0,612.0,13,136,0.09558823529411764,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.17606846973149462,-6.0,16,0,0.0,40,0,0.9396872774970367,False,True,False,2,1,0.0,0.0,2.0,Title,0.6666666666666666,447.7500686645508,84.66539001464844,5.288466380265691,1,53.0,53,4.6415094339622645,0.8490566037735849,318,0.5974842767295597,0.1540880503144654,0.0220125786163522,0.22641509433962265,0.09433962264150944,0.9615384615384616,False,False,False,0,0,0.0,61,0.5588235294117647,H3,Paragraph,E0CCG5S312.pdf
"Version 2014  Page 3 of 12  May 31, 2014",3,"(76.58399963378906, 718.6875610351562, 533.1344604492188, 730.081787109375)",9.960000038146973,Trebuchet MS,0,792.0,612.0,14,136,0.10294117647058823,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.9074337891858033,0.0,318,0,-3.9600000381469727,53,0,-0.44854719372865737,False,True,False,0,0,0.0,0.0,0.0,Title,0.0,456.5504608154297,11.39422607421875,40.06858015995029,1,9.0,9,3.3333333333333335,0.8888888888888888,40,0.4,0.325,0.025,0.25,0.1,1.0,False,False,False,0,0,56.70000000000002,101,0.2647058823529412,Paragraph,Paragraph,E0CCG5S312.pdf
© International Software Testing Qualifications Board,3,"(76.58399963378906, 736.8900146484375, 219.2940216064453, 743.5800170898438)",6.0,Arial,0,792.0,612.0,15,136,0.11029411764705882,-1.6620012256004322,0.08088235294117647,False,False,3.9600000381469727,False,False,0.9304166851621686,-3.9600000381469727,40,0,3.9600000381469727,100,1,-0.3836297544267364,False,True,False,1,2,1.5,0.0,2.0,H1,0.4444444444444444,142.71002197265625,6.69000244140625,21.33183406472096,1,6.0,6,8.0,1.0,53,0.8867924528301887,0.0,0.0,0.09433962264150944,0.0,1.0,False,False,False,0,0,0.0,62,0.5514705882352942,H3,Paragraph,E0CCG5S312.pdf
International  Overview  Software Testing  Foundation Level Extension – Agile Tester  Qualifications,4,"(74.42400360107422, 38.62621307373047, 515.6878662109375, 72.77159118652344)",9.960000038146973,Arial,0,792.0,612.0,16,136,0.11764705882352941,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.04877047105268999,3.9600000381469727,53,1,0.0,5,0,-0.14892824310440683,False,True,False,3,4,2.0,0.0,4.0,H1,0.4444444444444444,441.2638626098633,34.14537811279297,12.923091996586752,1,11.0,11,7.818181818181818,1.0,100,0.85,0.0,0.0,0.14,0.0,1.0,False,False,False,0,0,0.0,21,0.8529411764705882,H1,Paragraph,E0CCG5S312.pdf
Board,4,"(493.54779052734375, 61.66619110107422, 522.8401489257812, 72.77159118652344)",9.960000038146973,Arial,0,792.0,612.0,17,136,0.125,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.07786135240034624,0.0,100,0,6.0,17,0,-0.6233249149261368,False,True,False,3,2,1.0,0.0,3.0,Title,0.5,29.2923583984375,11.105400085449219,2.637667996924994,1,1.0,1,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0.0,45,0.6764705882352942,H3,Paragraph,E0CCG5S312.pdf
Table of Contents,4,"(70.94400024414062, 108.93620300292969, 208.75860595703125, 126.73160552978516)",15.960000038146973,"Arial,Bold",16,792.0,612.0,18,136,0.1323529411764706,1.9929120393679958,0.9779411764705882,False,False,6.0,False,False,0.13754571086228495,6.0,5,0,-6.0,138,0,-0.5634011248012867,False,True,False,2,3,1.0,0.0,3.0,H1,0.5,137.81460571289062,17.79540252685547,7.744393840201777,1,3.0,3,5.0,1.0,17,0.8823529411764706,0.0,0.0,0.11764705882352941,0.3333333333333333,1.0,False,False,False,0,0,0.0,46,0.6691176470588235,H1,H1,E0CCG5S312.pdf
..........................................................................................................................................,4,"(151.81919860839844, 144.7261962890625, 535.5282592773438, 155.8315887451172)",9.960000038146973,"Arial,Bold",16,792.0,612.0,19,136,0.13970588235294118,-0.2088429310958879,0.8455882352941176,False,True,0.0,False,False,0.18273509632457385,-6.0,17,0,0.0,19,0,0.04083042562428517,False,True,False,2,1,0.0,0.0,2.0,Title,0.6666666666666666,383.7090606689453,11.105392456054688,34.55159844078686,1,1.0,1,138.0,1.0,138,0.0,0.0,1.0,0.0,0.0,0.0,False,True,False,0,0,0.0,63,0.5441176470588235,H3,Paragraph,E0CCG5S312.pdf
